Mes,ipeco,clasificacion
2001-12-01,56.4465028,Pesimista
2002-03-01,57.6601026102,Pesimista
2002-06-01,61.052537428479994,Neutral
2002-09-01,57.394804047040004,Pesimista
2002-12-01,56.660999510639996,Pesimista
2003-03-01,50.4913967546,Muy pesimista
2003-06-01,64.14580578192,Neutral
2003-09-01,64.56915455292,Neutral
2003-12-01,66.55607145148,Neutral
2004-03-01,81.28860868227999,Muy optimista
2004-06-01,69.07923012664,Optimista
2004-09-01,61.91052427104,Neutral
2004-12-01,73.87153821436,Muy optimista
2005-03-01,72.74825280863999,Optimista
2005-05-01,72.79341001088,Optimista
2005-06-01,73.6062396512,Muy optimista
2005-07-01,66.74234491071999,Neutral
2005-08-01,73.1828908802,Optimista
2005-09-01,75.43510634191999,Muy optimista
2005-10-01,75.71733885591999,Muy optimista
2005-11-01,76.69386335436,Muy optimista
2005-12-01,76.5696810482,Muy optimista
2006-01-01,77.03254237115999,Muy optimista
2006-02-01,80.67334180175999,Muy optimista
2006-03-01,79.871801462,Muy optimista
2006-04-01,80.0693642218,Muy optimista
2006-05-01,78.80496255908001,Muy optimista
2006-06-01,65.32553769044,Neutral
2006-07-01,67.03586672528,Optimista
2006-08-01,70.12349042844,Optimista
2006-09-01,70.15171367984,Optimista
2006-10-01,69.22034638363999,Optimista
2006-11-01,66.69718770848,Neutral
2006-12-01,77.15672467732,Muy optimista
2007-01-01,74.08603492499999,Muy optimista
2007-02-01,68.71232785844,Optimista
2007-03-01,73.38609829027999,Muy optimista
2007-04-01,76.43985409175998,Muy optimista
2007-05-01,68.07448237679999,Optimista
2007-06-01,72.86679046452,Optimista
2007-07-01,67.51566199908,Optimista
2007-08-01,65.83355621564,Neutral
2007-09-01,66.58993935315999,Neutral
2007-10-01,60.397757995999996,Neutral
2007-11-01,70.68795545644,Optimista
2007-12-01,62.8814041192,Neutral
2008-01-01,66.34721939112,Neutral
2008-02-01,71.71528180739999,Optimista
2008-03-01,59.88409482052,Neutral
2008-04-01,59.33091909308,Pesimista
2008-05-01,58.56889130528,Pesimista
2008-06-01,56.77953716652,Pesimista
2008-07-01,52.455735052040005,Muy pesimista
2008-08-01,55.430465749599996,Pesimista
2008-09-01,59.70911066184,Pesimista
2008-10-01,50.10756053556,Muy pesimista
2008-11-01,54.62892540984,Pesimista
2008-12-01,45.7498905194,Muy pesimista
2009-01-01,37.519990411159995,Muy pesimista
2009-02-01,43.15899604088,Muy pesimista
2009-03-01,43.94924708008,Muy pesimista
2009-04-01,50.05111403276,Muy pesimista
2009-05-01,47.88356832524,Muy pesimista
2009-06-01,44.90883762768,Muy pesimista
2009-07-01,56.27151864132,Pesimista
2009-08-01,52.715388964919995,Muy pesimista
2009-09-01,60.9904462754,Neutral
2009-10-01,62.333873042040004,Neutral
2009-11-01,66.2964175386,Neutral
2009-12-01,66.30206218888,Neutral
2010-01-01,62.57094835379999,Neutral
2010-02-01,63.863573267919996,Neutral
2010-03-01,65.16184283231999,Neutral
2010-04-01,66.9173290694,Neutral
2010-05-01,62.9096273706,Neutral
2010-06-01,67.20520623368,Optimista
2010-07-01,67.92772146952,Optimista
2010-08-01,69.80739001276,Optimista
2010-09-01,70.66537685531999,Optimista
2010-10-01,76.61483825043999,Muy optimista
2010-11-01,73.39738759084,Muy optimista
2010-12-01,73.36351968916,Muy optimista
2011-01-01,74.54325159768,Muy optimista
2011-02-01,75.779430009,Muy optimista
2011-03-01,68.87602271656,Optimista
2011-04-01,78.38725843835999,Muy optimista
2011-05-01,68.72926180928,Optimista
2011-06-01,70.69360010672,Optimista
2011-07-01,71.47256184536,Optimista
2011-08-01,66.28512823804,Neutral
2011-09-01,65.63034880555999,Neutral
2011-10-01,62.72899856164,Neutral
2011-11-01,70.12349042844,Optimista
2011-12-01,68.19302003268,Optimista
2012-01-01,73.09257647572001,Optimista
2012-02-01,76.41163084036,Muy optimista
2012-03-01,74.74645900776,Muy optimista
2012-04-01,72.82727791256,Optimista
2012-05-01,73.18853553048,Optimista
2012-06-01,76.4003415398,Muy optimista
2012-07-01,71.48385114592,Optimista
2012-08-01,74.14812607808001,Muy optimista
2012-09-01,75.779430009,Muy optimista
2012-10-01,79.17750947756001,Muy optimista
2012-11-01,74.97224501896,Muy optimista
2012-12-01,70.8121377626,Optimista
2013-01-01,80.64511855036,Muy optimista
2013-02-01,78.7710946574,Muy optimista
2013-03-01,77.95826501708001,Muy optimista
2013-04-01,78.73722675572,Muy optimista
2013-05-01,76.7390205566,Muy optimista
2013-06-01,78.48321749312,Muy optimista
2013-07-01,76.82933496108001,Muy optimista
2013-08-01,72.05960547448,Optimista
2013-09-01,75.47461889388,Muy optimista
2013-10-01,74.61098740104,Muy optimista
2013-11-01,72.71438490695999,Optimista
2013-12-01,74.04652237304,Muy optimista
2014-01-01,76.38905223924,Muy optimista
2014-02-01,72.35312728904,Optimista
2014-03-01,71.93542316832,Optimista
2014-04-01,67.92207681923999,Optimista
2014-05-01,71.10565957716,Optimista
2014-06-01,66.98506487275999,Optimista
2014-07-01,69.87512581612,Optimista
2014-08-01,67.35761179124,Optimista
2014-09-01,63.468447748319996,Neutral
2014-10-01,53.025844730319996,Muy pesimista
2014-11-01,56.34489909495999,Pesimista
2014-12-01,54.32411429472,Pesimista
2015-01-01,59.34220839363999,Pesimista
2015-02-01,58.405196447159994,Pesimista
2015-03-01,61.81456521628,Neutral
2015-04-01,55.76350011612,Pesimista
2015-05-01,58.65356105948,Pesimista
2015-06-01,55.69576431276,Pesimista
2015-07-01,55.882037772,Pesimista
2015-08-01,50.000312180239995,Muy pesimista
2015-09-01,56.632776259239996,Pesimista
2015-10-01,74.57711949936,Muy optimista
2015-11-01,52.81134801968,Muy pesimista
2015-12-01,59.30269584168,Pesimista
2016-01-01,56.49730465252,Pesimista
2016-02-01,50.58171115908,Muy pesimista
2016-03-01,56.13040238432,Pesimista
2016-04-01,51.3380942966,Muy pesimista
2016-05-01,54.753107715999995,Pesimista
2016-06-01,59.844582268559996,Pesimista
2016-07-01,53.889476223159996,Pesimista
2016-08-01,54.820843519360004,Pesimista
2016-09-01,52.19608113916,Muy pesimista
2016-10-01,53.7088474142,Pesimista
2016-11-01,57.959269075040005,Pesimista
2016-12-01,62.63868415716,Neutral
2017-01-01,62.80237901528,Neutral
2017-02-01,56.378766996639996,Pesimista
2017-03-01,59.24624933887999,Pesimista
2017-04-01,58.122963933159994,Pesimista
2017-05-01,58.10038533204,Pesimista
2017-06-01,72.52246679743999,Optimista
2017-07-01,61.10898393128,Neutral
2017-08-01,60.33566684292,Neutral
2017-09-01,63.20879383544,Neutral
2017-10-01,61.66215965871999,Neutral
2018-01-01,65.5626130022,Neutral
2018-02-01,65.1674874826,Neutral
2018-03-01,63.225727786280004,Neutral
2018-04-01,65.48923254856,Neutral
2018-05-01,68.00110192316,Optimista
2018-06-01,56.96581062576,Pesimista
2018-07-01,60.2284184876,Neutral
2018-08-01,61.543622002839996,Neutral
2018-09-01,52.81134801968,Muy pesimista
2018-10-01,56.21507213852,Pesimista
2018-11-01,52.788769418559994,Muy pesimista
2018-12-01,47.832766472719996,Muy pesimista
2019-01-01,52.39928854924,Muy pesimista
2019-02-01,49.29473089524,Muy pesimista
2019-03-01,52.51218155484,Muy pesimista
2019-04-01,52.647653161559994,Muy pesimista
2019-05-01,55.49255690268,Pesimista
2019-06-01,53.08793588339999,Pesimista
2019-07-01,55.59416060771999,Pesimista
2019-08-01,54.74746306572,Pesimista
2019-09-01,55.36837459652,Pesimista
2019-10-01,37.10228629044,Muy pesimista
2019-11-01,39.03840133648,Muy pesimista
2019-12-01,27.083032043439996,Muy pesimista
2020-01-01,35.57823071484,Muy pesimista
2020-02-01,40.443919256200004,Muy pesimista
2020-03-01,38.507804210159996,Muy pesimista
2020-04-01,28.00311003908,Muy pesimista
2020-05-01,28.957055936399996,Muy pesimista
2020-06-01,35.57258606456,Muy pesimista
2020-07-01,34.99118708572,Muy pesimista
2020-08-01,42.31794314916,Muy pesimista
2020-09-01,40.195554643879994,Muy pesimista
2020-10-01,43.07432628668,Muy pesimista
2020-11-01,44.59838186228,Muy pesimista
2020-12-01,37.81351222572,Muy pesimista
2021-01-01,40.04314908632,Muy pesimista
2021-02-01,49.04636628292,Muy pesimista
